Timestamp: 2026-09-17T22:52:29.917Z | Benchmark ID: FOG_CONTROLLED_TEST_1789685546807 | TxHash: 0xc13dd5c5c7ec40ae2561628e3c8fedda7025a07863d51ccfda50ed8081cf1100 | CID: QmW93Tiy5dwgN82c1o9zU4NC6gd6Po6XjKKASicE9ptTom | Latency: 50.843 ms | IPFS Storage Time: 48.821 ms | Fog Processing Time: 0.013 ms | Benchmark TPS: 0.9754 TPS | Status: SUCCESS
Timestamp: 2026-09-17T22:52:31.268Z | Benchmark ID: FOG_CONTROLLED_TEST_1789685546807 | TxHash: 0x3ae0435122b5da66b807ce60340b861215755bf86cbca34e8fff4070a6f8d47d | CID: QmZVhRpB9uCbnKeX8ME3dGGW266uNAhNVeqzwzYKLYURrz | Latency: 43.657 ms | IPFS Storage Time: 41.866 ms | Fog Processing Time: 0.013 ms | Benchmark TPS: 0.9052 TPS | Status: SUCCESS
Timestamp: 2026-09-17T22:52:32.599Z | Benchmark ID: FOG_CONTROLLED_TEST_1789685546807 | TxHash: 0x5aa006f996b52f727d8ff5562cf8f324924944e7d3cdf19c1924b15623db8824 | CID: QmWGoyCkfeueMsXSp1w2KCYh4jQFzZXBM32Je5HQBbDGRk | Latency: 41.658 ms | IPFS Storage Time: 40.017 ms | Fog Processing Time: 0.013 ms | Benchmark TPS: 0.8699 TPS | Status: SUCCESS
Timestamp: 2026-09-17T22:52:33.931Z | Benchmark ID: FOG_CONTROLLED_TEST_1789685546807 | TxHash: 0x221c19854ea4c23402d56addde4aed80dfb84172bae6f8d6f2a6594a8cf5c201 | CID: QmXqTKyVLJfWKHXQNYio3rrfi4aJDHxfA2pvErHL7cvcVo | Latency: 62.593 ms | IPFS Storage Time: 59.255 ms | Fog Processing Time: 0.016 ms | Benchmark TPS: 0.8449 TPS | Status: SUCCESS
Timestamp: 2026-09-17T22:52:35.237Z | Benchmark ID: FOG_CONTROLLED_TEST_1789685546807 | TxHash: 0x615d88c17ce454949b69fc9f9642318ca74164e41bd06983e305e1ae48e95d08 | CID: QmdXvFi9uEndh68rYj9v1tWXruUuGbnfxAXNyCbW3gWTg6 | Latency: 51.723 ms | IPFS Storage Time: 48.834 ms | Fog Processing Time: 0.018 ms | Benchmark TPS: 0.8337 TPS | Status: SUCCESS
Timestamp: 2026-09-17T22:52:36.638Z | Benchmark ID: FOG_CONTROLLED_TEST_1789685546807 | TxHash: 0xb135767c9470a40babf1df1faf2086e0d887a41b60b3747869109e438142993c | CID: QmU91czDc2vu7PbcufR8XjsQz3vifhN1EpTyRx43rhXHZv | Latency: 53.71 ms | IPFS Storage Time: 51.318 ms | Fog Processing Time: 0.017 ms | Benchmark TPS: 0.8164 TPS | Status: SUCCESS
Timestamp: 2026-09-17T22:52:38.004Z | Benchmark ID: FOG_CONTROLLED_TEST_1789685546807 | TxHash: 0xd0e9f8308870105ac990da8f4aaa1b3c19c0b7fffd7bf03e70fcaf20982e470b | CID: QmSHeVbmBqZAsg29HzpzXmzGqmi7jgfY672GvMDXqbhRhE | Latency: 68.381 ms | IPFS Storage Time: 66.345 ms | Fog Processing Time: 0.014 ms | Benchmark TPS: 0.805 TPS | Status: SUCCESS
Timestamp: 2026-09-17T22:52:39.337Z | Benchmark ID: FOG_CONTROLLED_TEST_1789685546807 | TxHash: 0xd4869adeb740b134a7c2b2e1d68ce1c83bd1dc9c86747765689b307804e0a3f7 | CID: QmYeiJuN4DbEB1h42dKZz8BECdQQmNiZg1pFJKDNBrLPrz | Latency: 17.382 ms | IPFS Storage Time: 15.643 ms | Fog Processing Time: 0.013 ms | Benchmark TPS: 0.8024 TPS | Status: SUCCESS
Timestamp: 2026-09-18T00:11:04.079Z | Benchmark ID: FOG_RUN_01_10TX_1789690263389 | TxHash: 0x44b44f7d8e358ea80424b8782102a5717d4cddd563fd75dc19834861b5ab6124 | CID: QmNkF4geR4Q33BvTcp54BKPAC923KVM7kMS4ZtJcmVVjz7 | Latency: 86.838 ms | IPFS Storage Time: 84.496 ms | Fog Processing Time: 0.072 ms | Benchmark TPS: 1.3427 TPS | Status: SUCCESS
Timestamp: 2026-09-18T00:11:05.800Z | Benchmark ID: FOG_RUN_01_10TX_1789690263389 | TxHash: 0xbde9a30ae154cd32299ff5ac3d7770660b5eb994e4bdf11004afe3904272efff | CID: QmVuEMM6ZHgTWPQ8gUomtC7625GKNzi2MzX7XNaFDkGNs9 | Latency: 24.789 ms | IPFS Storage Time: 22.455 ms | Fog Processing Time: 0.112 ms | Benchmark TPS: 0.8319 TPS | Status: SUCCESS
Timestamp: 2026-09-18T00:11:07.384Z | Benchmark ID: FOG_RUN_01_10TX_1789690263389 | TxHash: 0xa91ce636880217db4e8c022c0bd3dae8cdba5ecddd26f786d383d9679560edef | CID: QmPEmiwVa7wqR5fo4UKYfhZJxDoiav3eVKC7YpMRhANGv4 | Latency: 45.415 ms | IPFS Storage Time: 43.583 ms | Fog Processing Time: 0.043 ms | Benchmark TPS: 0.7484 TPS | Status: SUCCESS
Timestamp: 2026-09-18T00:11:09.035Z | Benchmark ID: FOG_RUN_01_10TX_1789690263389 | TxHash: 0xed980ad4a791c326132dbd2f5a16acea46baa48832edf13ddaedbea11c73756f | CID: QmSCi17xgRNgkiZzMH1dAdpo2xeQiAH14n4b327189jNXq | Latency: 45.625 ms | IPFS Storage Time: 43.842 ms | Fog Processing Time: 0.041 ms | Benchmark TPS: 0.7068 TPS | Status: SUCCESS
Timestamp: 2026-09-18T00:11:10.595Z | Benchmark ID: FOG_RUN_01_10TX_1789690263389 | TxHash: 0x41772bf39fb6aec1a91db16ea5e41dcde774deaddf533d9af8b30f3ac55a9b1b | CID: QmdAFDHL3NZZfgSxm1aTnh8hf2gKRxSMj1wU92tQqLfxPW | Latency: 46.52 ms | IPFS Storage Time: 44.681 ms | Fog Processing Time: 0.04 ms | Benchmark TPS: 0.6925 TPS | Status: SUCCESS
Timestamp: 2026-09-18T00:11:12.312Z | Benchmark ID: FOG_RUN_01_10TX_1789690263389 | TxHash: 0xbaeefd63e1f261f7085c1b2ea42522a7f7807baab0f3996dd6dd35b975f8e02b | CID: QmfZAzeLvsUuSXB6HkVV2gM5PvnrPpky1qHa9Q3m8VqF7e | Latency: 41.443 ms | IPFS Storage Time: 39.683 ms | Fog Processing Time: 0.041 ms | Benchmark TPS: 0.6717 TPS | Status: SUCCESS
