Timestamp: 2026-09-17T19:15:53.056Z | Architecture: WITHOUT_FOG | TxHash: 0x3c5c78860542232859943519bf458771a15fb8c758c69462f90b2033ef80e3f6 | CID: QmUiSkPgaLnPrG6kAoxwuS9mBzhLh7EgE4YnTT6d9AMEhu | Latency: 65.276 ms | IPFS Storage Time: 63.063 ms | Throughput: 0.0082 TPS | Status: SUCCESS
Timestamp: 2026-09-17T19:16:42.322Z | Architecture: WITHOUT_FOG | TxHash: 0x3f81adb918940cced92220c58ac4f91c87405c499f2d8bd5408b51786eca7eca | CID: QmbFSy1TAdTUH9jkx9ZFtcSToHhnbzHh1PnTuwB7uguuJn | Latency: 84.831 ms | IPFS Storage Time: 81.011 ms | Throughput: 0.0084 TPS | Status: SUCCESS
Timestamp: 2026-09-17T19:17:26.792Z | Architecture: WITHOUT_FOG | TxHash: 0x26d4f2d463d57d7b90c3d105d6ac9008e9f605f3c555d2bb24e07563be4ead3b | CID: QmYM5iZHrmKUUCXAHuLzq1dGJeSabPMQASCkSifW6CM7rz | Latency: 70.94 ms | IPFS Storage Time: 66.062 ms | Throughput: 0.0086 TPS | Status: SUCCESS
Timestamp: 2026-09-17T19:18:14.845Z | Architecture: WITHOUT_FOG | TxHash: 0x870cafb52fd47a3b24221d0e2c1adedace37c41c0b21b06927cae44b61e7ca1d | CID: QmVts2FRj3y5b5RqAPYvqpSg7oypz8bq9uPzh4reH9aiLr | Latency: 73.353 ms | IPFS Storage Time: 71.189 ms | Throughput: 0.0087 TPS | Status: SUCCESS
Timestamp: 2026-09-17T19:18:33.699Z | Architecture: WITHOUT_FOG | TxHash: 0x5e0c7f74e3374905d0f360b255d106bddf7e8a1815c2a2a2cb1fe9cf11803d0a | CID: QmdkVZZM9nrMAEgVMJmaZBrqVir2Rf72vXdYDXReWvGCES | Latency: 63.381 ms | IPFS Storage Time: 61.469 ms | Throughput: 0.009 TPS | Status: SUCCESS
Timestamp: 2026-09-17T19:59:16.987Z | Architecture: WITHOUT_FOG | TxHash: 0x331eaa478a5517da364423b77ce4e9e2237b95abacd808e612b102e48b124aa0 | CID: QmZUEfJduM7WzfhcKBEkej4PuYbirnvLhZQvqVEtcjYXMD | Latency: 87.283 ms | IPFS Storage Time: 71.625 ms | Throughput: 0.0054 TPS | Status: SUCCESS
Timestamp: 2026-09-17T19:59:46.561Z | Architecture: WITHOUT_FOG | TxHash: 0xd540cc2caecdbeafdf16c8ef77980d62c946972f2c1e9e7b0d42e7cf595e77cd | CID: QmPB5oMvKt8qQCzEhHLrvn3swBo6TM7rayCPGsTQ5nbY1R | Latency: 326.03 ms | IPFS Storage Time: 309.608 ms | Throughput: 0.0056 TPS | Status: SUCCESS
Timestamp: 2026-09-17T20:00:10.347Z | Architecture: WITHOUT_FOG | TxHash: 0x5dcade47d3d2214fedce28b5bbc012024484b66082c45ff5ab4f520a6848fcce | CID: QmdXs2HjBvVMeH5sfWee4NHCcwtPyvG7gHGL5LErFvvBGr | Latency: 63.746 ms | IPFS Storage Time: 52.989 ms | Throughput: 0.0057 TPS | Status: SUCCESS
Timestamp: 2026-09-17T20:00:45.274Z | Architecture: WITHOUT_FOG | TxHash: 0x4662540821f53a59117fc3911c75b2f153256eaf16d8157ed88b8108e30ef25c | CID: QmWYeBhcWWA2gVe5L4sZP1SPXmgHmZ92XcnkJgof9DAai3 | Latency: 193.736 ms | IPFS Storage Time: 190.808 ms | Throughput: 0.0059 TPS | Status: SUCCESS
Timestamp: 2026-09-17T20:01:40.148Z | Architecture: WITHOUT_FOG | TxHash: 0xc1e38188088f7c4a120b9e882d122b7fabced60a0c579161b12bd5146437f184 | CID: QmTAAKC8M7jBwNH9eTAhhEn5EZ9gFwn6FZJhADPVMnKAN9 | Latency: 485.177 ms | IPFS Storage Time: 477.074 ms | Throughput: 0.006 TPS | Status: SUCCESS
